Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
Allergy,apply calamine,cover area with bandage,,use ice to compress itching
Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths
Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
Diabetes ,have balanced diet,exercise,consult doctor,follow up
Hypertension ,meditation,salt baths,reduce stress,get proper sleep
Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor
Heart attack,call ambulance,chew or swallow asprin,keep calm,
Pneumonia,consult doctor,medication,rest,follow up
Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Tuberculosis,cover mouth,consult doctor,medication,rest
